ne	-8.0548
▁come	-8.05612
G	-8.05658
▁another	-8.06853
▁public	-8.07419
▁On	-8.0776
▁including	-8.08792
▁‘	-8.09298
の	-8.10159
▁To	-8.10176
▁place	-8.10386
▁each	-8.10442
▁help	-8.10698
▁K	-8.11198
2	-8.11978
▁season	-8.12125
▁best	-8.12138
▁number	-8.12991
▁too	-8.13122
▁i	-8.13212
1	-8.13232
▁next	-8.13351
▁few	-8.13389
▁something	-8.13424
W	-8.13719
P	-8.14055
▁never	-8.14177
il	-8.1428
▁4	-8.14315
▁high	-8.14418
▁se	-8.14508
ity	-8.14796
ra	-8.15026
la	-8.15075
▁set	-8.15279
ch	-8.16025
▁every	-8.16177
▁second	-8.16195
the	-8.16372
is	-8.17836
ma	-8.17918
▁system	-8.18047
▁N	-8.1825
ment	-8.18585
▁s	-8.18694
el	-8.19113
w	-8.19129
▁5	-8.19207
▁didn	-8.19211
▁con	-8.19299
▁different	-8.197
▁left	-8.19836
ta	-8.20125
▁called	-8.20355
、	-8.20456
and	-8.21254
▁look	-8.21313
N	-8.21654
▁American	-8.21707
▁might	-8.21714
▁things	-8.21893
?"	-8.21967
▁No	-8.22167
▁o	-8.22348
▁When	-8.22537
ist	-8.22626
▁country	-8.22945
co	-8.23056
We	-8.23304
▁later	-8.23391
▁group	-8.23408
▁million	-8.23549
M	-8.24024
▁support	-8.24334
▁Re	-8.24368
▁show	-8.24391
▁without	-8.24463
▁United	-8.24504
ia	-8.24677
▁find	-8.2552
▁got	-8.25556
▁L	-8.25629
E	-8.26694
▁play	-8.26751
ro	-8.27037
▁lot	-8.27193
ion	-8.27519
▁does	-8.2772
▁again	-8.28002
▁little	-8.28035
▁company	-8.28216
v	-8.28322
▁family	-8.28479
ton	-8.28504
3	-8.29164
▁case	-8.29835
▁until	-8.29996
as	-8.30022
▁week	-8.30149
▁US	-8.30251
▁point	-8.31092
▁At	-8.31274
▁put	-8.31371
un	-8.31455
no	-8.31665
▁away	-8.32524
▁four	-8.32591
▁better	-8.3279
ul	-8.33015
▁took	-8.33123
▁d	-8.3357
▁power	-8.33888
▁head	-8.34377
▁W	-8.34412
se	-8.34553
",	-8.34564
ter	-8.34896
▁came	-8.35546
▁data	-8.35805
▁De	-8.35943
▁co	-8.36005
▁di	-8.36007
▁city	-8.36182
▁great	-8.36306
▁top	-8.36671
▁After	-8.36802
(	-8.36915
▁What	-8.37083
▁men	-8.37267
▁name	-8.37634
▁change	-8.37656
▁far	-8.37762
▁using	-8.37929
H	-8.37981
▁won	-8.38333
▁l	-8.38438
me	-8.38698
ir	-8.38775
▁police	-8.38804
▁La	-8.39634
▁H	-8.39674
ge	-8.40077
▁school	-8.40077
▁women	-8.40257
at	-8.40506
▁pre	-8.41831
▁already	-8.42022
et	-8.42517
▁y	-8.42682
j	-8.42706
▁car	-8.42756
ty	-8.43327
V	-8.43454
▁must	-8.43483
▁known	-8.4354
It	-8.43542
4	-8.43755
▁information	-8.43762
R	-8.4379
▁side	-8.43967
ism	-8.44152
be	-8.44332
do	-8.44381
▁always	-8.44484
am	-8.44652
▁One	-8.44929
".	-8.45228
ry	-8.45234
▁University	-8.45516
▁why	-8.45761
up	-8.4579
▁able	-8.46003
▁J	-8.46431
▁6	-8.46652
。	-8.46935
▁law	-8.47081
▁President	-8.47159
▁former	-8.47548
▁real	-8.47623
▁thing	-8.47696
▁hand	-8.47828
▁All	-8.48272
▁run	-8.48711
▁p	-8.4876
▁small	-8.49012
▁le	-8.49258
▁several	-8.49273
▁percent	-8.49671
L	-8.49695
▁local	-8.49785
ce	-8.5006
▁al	-8.50124
▁days	-8.50244
▁20	-8.50289
▁though	-8.50435
▁free	-8.50453
li	-8.50582
▁line	-8.50783
▁money	-8.5079
▁el	-8.50852
▁making	-8.50866
ie	-8.50957
▁water	-8.51034
▁went	-8.51248
▁less	-8.51268
▁da	-8.51377
é	-8.51455
▁open	-8.52057
▁become	-8.52078
▁order	-8.52135
▁enough	-8.52246
▁least	-8.52319
▁early	-8.52482
os	-8.52486
▁big	-8.52555
▁His	-8.52653
▁&	-8.52705
O	-8.52821
▁asked	-8.52888
▁important	-8.52938
▁working	-8.5294
▁past	-8.53064
da	-8.53305
ness	-8.53418
▁start	-8.53461
▁fact	-8.53552
▁full	-8.54053
▁war	-8.54181
▁give	-8.54336
ive	-8.54767
▁person	-8.54836
ur	-8.55056
▁12	-8.55058
▁face	-8.55452
▁States	-8.55855
▁children	-8.55926
▁House	-8.55951
▁report	-8.55996
▁media	-8.56049
▁May	-8.56319
est	-8.56611
▁political	-8.56765
▁York	-8.56896
▁State	-8.57058
▁five	-8.57082
▁keep	-8.57293
▁V	-8.57294
▁die	-8.57352
▁pro	-8.57443
▁hard	-8.5765
▁thought	-8.57849
year	-8.57907
5	-8.58098
▁An	-8.58184
▁across	-8.58458
▁according	-8.58532
▁social	-8.58695
ci	-8.58768
▁ever	-8.5892
▁president	-8.59082
▁following	-8.59087
▁within	-8.59301
▁having	-8.59563
▁7	-8.59887
son	-8.60189
ate	-8.6021
▁doesn	-8.60346
▁am	-8.60565
▁St	-8.60604
▁area	-8.60647
ca	-8.60689
▁business	-8.60828
age	-8.60909
▁story	-8.61396
▁campaign	-8.61448
▁However	-8.61496
▁process	-8.61505
▁Mr	-8.61536
▁seen	-8.61539
▁night	-8.61539
ine	-8.61664
▁often	-8.62456
▁15	-8.63
▁8	-8.63065
go	-8.63208
▁film	-8.63377
▁Al	-8.63452
を	-8.63559
▁With	-8.63722
▁large	-8.6406
▁National	-8.64308
▁let	-8.64315
▁started	-8.64318
▁became	-8.64355
ten	-8.64377
▁non	-8.64739
▁feel	-8.651
lo	-8.65176
ting	-8.65446
▁old	-8.65667
▁community	-8.6593
▁series	-8.65974
ni	-8.66038
ian	-8.6607
▁video	-8.66123
▁Do	-8.66328
▁9	-8.66598
▁members	-8.66685
▁today	-8.66728
▁along	-8.66799
▁World	-8.66971
▁John	-8.67047
▁once	-8.67058
ad	-8.67078
▁post	-8.67213
ary	-8.67585
▁single	-8.67851
▁call	-8.68007
–	-8.6801
Y	-8.68166
▁doing	-8.68259
▁human	-8.68262
▁book	-8.6827
ner	-8.68348
▁Le	-8.6835
▁health	-8.68538
st	-8.68736
old	-8.68743
▁care	-8.68756
ling	-8.68891
▁done	-8.68931
▁sure	-8.68936
U	-8.69095
▁kind	-8.69111
▁--	-8.69504
ted	-8.70026
▁future	-8.70026
▁course	-8.70284
den	-8.70434
▁actually	-8.70442
▁deal	-8.70749
▁love	-8.70859
▁11	-8.7087
に	-8.70997
▁live	-8.71043
▁given	-8.71124
▁released	-8.71192
▁together	-8.71753
が	-8.71804
▁der	-8.7191
▁games	-8.72232
▁national	-8.72246
▁began	-8.72296
ck	-8.72423
▁believe	-8.72494
▁based	-8.72578
▁among	-8.73125
▁possible	-8.73157
mo	-8.73234
▁control	-8.73265
ke	-8.7343
ha	-8.73531
▁whether	-8.7398
▁level	-8.73982
▁North	-8.74018
id	-8.74108
ka	-8.74144
ak	-8.74152
▁yet	-8.74176
▁months	-8.74214
um	-8.74224
▁party	-8.74298
▁example	-8.743
▁project	-8.74718
▁17	-8.74722
ley	-8.75002
▁times	-8.75068
ti	-8.75204
▁While	-8.75264
▁market	-8.7529
▁March	-8.75354
▁due	-8.75429
X	-8.75544
▁behind	-8.75746
▁Co	-8.75982
7	-8.76091
J	-8.76143
▁likely	-8.76314
6	-8.76381
▁South	-8.76464
ated	-8.76738
▁major	-8.76762
▁City	-8.76844
▁body	-8.77071
▁short	-8.77352
▁final	-8.77467
▁move	-8.77608
▁service	-8.77782
▁players	-8.7779
▁added	-8.77884
▁Na	-8.77984
va	-8.78118
▁et	-8.78302
▁pay	-8.78344
▁problem	-8.78427
▁16	-8.78444
8	-8.78519
▁history	-8.78713
ga	-8.78794
▁getting	-8.78977
▁China	-8.79014
▁death	-8.79204
▁played	-8.79268
▁available	-8.79638
ant	-8.79838
▁means	-8.80057
▁looking	-8.80074
▁held	-8.80541
▁plan	-8.80543
rs	-8.80544
▁close	-8.80559
▁na	-8.80595
▁news	-8.80605
di	-8.80777
▁clear	-8.8108
▁America	-8.81082
▁almost	-8.81715
▁trying	-8.82069
▁half	-8.823
▁$	-8.82742
▁...	-8.82802
▁My	-8.82811
▁young	-8.82988
per	-8.83048
▁anything	-8.83081
▁add	-8.83323
0	-8.83347
▁wanted	-8.83348
▁bit	-8.83705
は	-8.83852
▁front	-8.83894
▁room	-8.83994
less	-8.84019
▁month	-8.84035
▁light	-8.84053
▁taken	-8.84053
ri	-8.8431
▁win	-8.84351
ous	-8.84586
▁black	-8.84604
▁idea	-8.85012
land	-8.85018
▁building	-8.85081
▁question	-8.85217
▁six	-8.8534
▁house	-8.8552
▁ago	-8.8581
▁court	-8.85918
▁#	-8.85965
▁third	-8.86114
▁By	-8.863
▁job	-8.86352
▁program	-8.86534
▁issue	-8.86561
▁development	-8.86756
▁experience	-8.86913
▁list	-8.86931
▁form	-8.86971
▁War	-8.87286
▁others	-8.87618
▁himself	-8.88336
▁Be	-8.88342
▁Mar	-8.8848
ja	-8.88506
▁saying	-8.88517
▁g	-8.88525
im	-8.88537
▁April	-8.88827
▁June	-8.88956
▁air	-8.89006
que	-8.89219
▁para	-8.8922
▁v	-8.89372
You	-8.89427
▁Man	-8.8956
▁taking	-8.89681
▁anti	-8.8969
▁near	-8.89747
▁office	-8.89748
▁recent	-8.8979
▁These	-8.89799
der	-8.89887
ut	-8.90001
▁further	-8.90065
▁research	-8.90066
▁0	-8.90071
▁late	-8.90119
▁include	-8.90159
▁saw	-8.90171
out	-8.90184
▁tell	-8.90226
men	-8.90251
▁security	-8.90293
ite	-8.90351
ex	-8.90653
▁=	-8.90692
▁Con	-8.9079
▁m	-8.90796
▁:	-8.90987
▁coming	-8.91109
▁current	-8.91128
▁reported	-8.91327
gen	-8.91396
▁woman	-8.91558
▁someone	-8.91559
▁God	-8.91645
▁Me	-8.91736
▁Now	-8.9177
em	-8.91794
▁July	-8.91797
▁c	-8.91861
▁food	-8.92094
he	-8.92149
▁dis	-8.92167
▁comes	-8.9237
▁result	-8.92377
▁election	-8.92413
time	-8.92467
▁Pro	-8.9254
▁general	-8.92702
ler	-8.92711
▁military	-8.92725
í	-8.92882
▁El	-8.92959
▁14	-8.92998
▁space	-8.931
ized	-8.93125
nd	-8.93177
▁position	-8.93295
▁nothing	-8.93299
▁des	-8.93384
▁role	-8.934
led	-8.93422
▁mind	-8.93476
▁13	-8.93817
▁Mo	-8.9384
▁rest	-8.93904
▁outside	-8.94046
ba	-8.94058
▁access	-8.94067
▁January	-8.94099
9	-8.94112
ating	-8.94125
▁white	-8.94326
▁t	-8.94487
▁San	-8.9453
▁decision	-8.94635
▁player	-8.94812
▁son	-8.95028
▁30	-8.95171
▁read	-8.95186
▁Some	-8.95198
▁makes	-8.95255
op	-8.95293
▁site	-8.95379
▁study	-8.95611
pe	-8.95756
▁students	-8.95784
▁age	-8.95967
ies	-8.95998
▁record	-8.9606
▁however	-8.9611
▁wrote	-8.96178
▁provide	-8.96584
▁vi	-8.96766
▁low	-8.96783
▁music	-8.96825
▁How	-8.96961
▁reason	-8.97033
▁Go	-8.97048
▁hit	-8.97196
ver	-8.972
▁West	-8.9721
▁main	-8.97274
://	-8.97296
ó	-8.97338
ish	-8.97379
ä	-8.97754
po	-8.97786
▁try	-8.97848
▁total	-8.98225
▁k	-8.98317
▁special	-8.98383
▁lead	-8.9843
▁rather	-8.98471
▁|	-8.98496
▁policy	-8.98519
▁September	-8.98528
▁Dr	-8.98531
▁received	-8.98543
▁event	-8.9857
▁member	-8.98584
▁wasn	-8.98628
▁return	-8.98722
▁either	-8.98777
▁f	-8.98932
ard	-8.99089
と	-8.99419
▁everything	-8.99461
▁del	-8.99635
▁August	-8.99688
▁stop	-8.99871
ol	-8.99994
▁led	-9.00009
ko	-9.0002
▁White	-9.00152
▁statement	-9.00173
tic	-9.00181
▁create	-9.00456
▁attack	-9.00484
one	-9.00653
▁announced	-9.00703
▁ex	-9.00725
▁release	-9.00728
mp	-9.00753
je	-9.00757
▁companies	-9.00803
▁X	-9.00838
▁matter	-9.00905
▁similar	-9.0093
▁turn	-9.00999
ster	-9.01071
▁looked	-9.01128
▁continue	-9.01252
▁October	-9.01301
▁class	-9.01312
▁su	-9.01372
by	-9.01661
▁eyes	-9.01676
▁above	-9.01679
ber	-9.01762
▁2016	-9.01766
ful	-9.01792
▁November	-9.01794
▁present	-9.01949
▁lost	-9.01983
▁du	-9.02109
▁Washington	-9.02303
ung	-9.02635
▁action	-9.02892
▁probably	-9.03327
▁whole	-9.0342
▁Her	-9.03658
▁points	-9.03666
▁isn	-9.03703
▁b	-9.03869
line	-9.03919
▁*	-9.04049
▁countries	-9.04108
